APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
N,20194,51,0,1,V3W1Y1,1,1,243.7491667,233.7583333,639.6491667,14088.34286,157.2341667,,0,0,1.416666667,3.916666667,8.916666667,1,0,0,4.6,-1,-1,D,940,320,1122,25558.51064,1181.481482
N,20210,30,0,1,V5A1K6,1,1,203.9925,624.3666667,3444.879167,,222.53,,0,0,0.666666667,15.16666667,46.66666667,1,0,0,4.2,-1,-1,D,690,360,1985,39759.42029,5956.923077
N,20218,52,0,1,V5Z3K4,1,0,162.31,0,1417.715,,799.7341667,,0,0,1.833333333,1.75,8.166666667,0.333333333,0,0,5,0,0,D,670,400,1857,39276.1194,3258.333333
Y,20281,60,0,1,V3V6E1,1,1,8205.483333,1587.906667,18553.58917,,0,,0,0,0.333333333,4.75,35.66666667,4.083333333,4.75,0,4.7,-1,-1,D,920,230,720,22284.78261,1159.090909
Y,20288,34,1,0,V6Y3N1,1,0,0.005,2454.295833,2845.233333,,0.058333333,81136.115,0,0,1.833333333,3.833333333,4.666666667,0,0,0,5.1,-1,-1,C,1110,520,1922,30130.63063,2568.656716
Y,20294,31,0,1,V7J2P6,1,0,263.42,230.7525,616.405,,22838.38417,230225.4283,0,0,3.166666667,3.166666667,6.083333333,0.25,4.5,0,5,0,0,A,630,250,1301,31353.96825,3128.571429
Y,20297,46,0,1,V3N4K2,1,0,348.4625,30.57,10919.8075,,7638.35,,0,0,0.583333333,0,0,0,0,0,4.6,-1,-3,D,610,,,30131.14754,1938.461539
Y,20307,58,1,0,V5G3Y6,1,0,2835.255833,308.1925,6052.019167,,16352.565,,0,0,4.916666667,0,8.666666667,5.5,5.083333333,0,4.2,-1,-3,D,820,410,1867,37417.07317,1836.363636
Y,20311,50,0,1,V5N1H9,1,0,5494.988333,4498.165,12828.76417,1124.459091,0,143297.4092,0,0,9.333333333,8.583333333,0,7.166666667,4,0,6.1,-1,-3,B,940,360,1376,26831.91489,2815.384615
Y,20318,40,0,1,V4N4V3,1,1,1689.621667,54.25083333,1908.59,14894.715,2954.094167,235189.3258,0,0,1.166666667,15.08333333,76,5.833333333,27,0.166666667,6,0,0,A,16030,6230,30666,32509.5446,3150.875146
N,20335,40,1,0,V5X2S9,1,1,2982.5375,5327.524167,8983.706667,,0,153455.4133,0,0,0.416666667,9.416666667,15.25,7.666666667,1.25,0,5,0,0,A,450,400,1480,21515.55556,2041.176471
N,20352,60,1,0,V6J2H5,1,1,2906.4575,0.08,94724.78,2252.192727,13.4,37357.16,0,1,2.083333333,6.333333333,0.666666667,8.75,0,0,6.5,1,-2,A,470,240,1868,53078.7234,8445.454546
N,20375,65,1,0,V3S8H7,1,0,2070.801667,35.7775,2226.161667,,55.15916667,135658.0025,0,0,1.583333333,1.583333333,0,0.083333333,0.083333333,0,5,0,0,C,38210,14860,68798,34921.48652,3671.284352
Y,20391,38,1,0,V7E1K5,1,0,67.19166667,476.5975,727.4241667,,1149.939167,135037.3358,0,0,0.666666667,0.25,0,0.166666667,0.333333333,0,5,0,0,D,830,360,1962,29730.12048,2904.918033
Y,20481,34,0,1,V3X2W7,1,1,64.96583333,8.443333333,266.3116667,,18596.19667,180398.3867,0,1,1.5,3.833333333,15.41666667,2.166666667,7.75,0,4.3,1,1,D,490,200,895,33289.79592,2691.666667
N,20502,49,0,1,V5S3T1,1,0,1613.251667,6928.158333,11715.33,,0,,0,0,7.833333333,0,0,1.166666667,0.166666667,0,5,0,0,D,590,250,1156,31415.25424,4524.390244
N,20544,39,1,0,V4C3H6,1,0,0,82.80666667,184.3891667,,10596.28833,,0,0,4.333333333,1.25,6.583333333,1.833333333,0,0,4,0,0,D,940,380,1561,30128.7234,1655.555556
Y,20563,31,0,1,V7J1Z6,1,1,797.6591667,5297.949167,6169.275833,,278.5158333,,0,0,0.5,10.83333333,65.16666667,4,5.25,0,4,0,0,D,630,250,1301,31353.96825,3128.571429
Y,20660,53,0,1,V5N2C9,1,1,4226.1625,437.2791667,5184.341667,,0,151811.5175,0,0,0.583333333,0,0,4.75,8.666666667,0,5,0,0,A,780,260,969,23784.61539,1859.259259
Y,20667,45,0,1,V2X0J6,1,0,0,169.0608333,391.8441667,16105.94333,1588.2975,128104.64,0,0,1.083333333,16.91666667,28.58333333,3.333333333,8.333333333,0,6,0,0,A,570,300,1150,33333.33333,1555.555556
Y,20816,33,0,1,V5C2R4,0,1,0,107.1341667,190.8791667,,9497.210833,,0,0,0.416666667,0,0,0.333333333,1,0,4,0,0,D,510,220,856,25952.94118,3345.714286
N,20818,36,0,1,V3C4X5,1,0,4.214166667,4328.9475,4443.094167,5925.353333,4827.799167,154869.4233,0,0,1.25,0,0.083333333,0.25,1.416666667,0,5.7,-1,-1,A,480,200,819,31429.16667,1888.235294
Y,20832,43,0,1,V4P1V1,1,0,5072.060833,0,7459.995833,17545.6775,17033.93583,,0,0,2.25,0.166666667,0.25,0.166666667,0,0,4.4,-2,-1,C,690,290,1596,43684.05797,6538.636364
N,20865,24,1,0,V5Z3K1,1,1,550.6966667,0,1228.888333,,9.015833333,,0,0,2.666666667,13.91666667,16.08333333,3.583333333,0.916666667,0,4.3,-1,-2,D,680,340,1715,38363.23529,2354.83871
N,20909,36,1,0,V5V2Y6,1,0,1454.565833,38.97,1565.268333,7771.826667,2112.9575,,0,0,0.166666667,1.833333333,11,0.083333333,1.583333333,0,5,0,0,D,920,390,1465,28457.6087,4456.097561
N,20943,40,1,0,V3E3A1,1,0,350.9491667,0,411.7566667,,1906.380833,,0,0,0.833333333,6,28.16666667,1.333333333,2.833333333,0,4,0,0,D,13940,6000,29947,35419.65567,3462.994012
Y,20950,30,0,1,V5X2C6,0,0,0.853333333,367.0325,422.5883333,,7071.105,,0,0,1.583333333,0,0,0,0,0,2.1,-1,-3,D,1230,320,1434,21462.60163,2223.809524
Y,21047,46,0,1,V6R1T1,1,1,5896.7175,2825.086667,10338.6875,,0,43259.79917,0,0,0.416666667,7.666666667,41.25,8.916666667,5.166666667,0,5.2,-1,-1,C,620,290,1734,46235.48387,4903.125
Y,21064,39,1,0,V5T1Y9,1,1,318.7541667,284.35,1245.39,3677.3,3191.233333,115769.93,0,0,1.333333333,5.416666667,27.58333333,2.25,0.083333333,0.083333333,6,0,-1,B,700,260,1131,28977.14286,2713.043478
Y,21089,36,1,0,V4R4X4,1,1,330.6466667,5505.205833,5892.72,3084.89,687.9333333,,0,0,1.583333333,0.75,4.5,3,1.75,0,4,0,-1,D,920,360,1522,33638.04348,2521.875
Y,21090,35,0,1,V2X2K6,1,1,836.5208333,3123.11,23038.60583,8992.056667,5943.136,,1,0,0.75,1.416666667,12,0.583333333,2.333333333,0,4.3,-1,-3,D,1090,440,1515,31418.34862,1873.170732
Y,21108,36,1,0,V3M4H9,1,1,1087.339167,287.5233333,1495.395,9964.014167,2828.369167,109907.0233,0,0,1.333333333,6,3.833333333,4.833333333,0.083333333,0,6,0,0,C,920,430,1540,28539.13044,1240.909091
Y,21134,50,1,0,V7R3X8,1,1,1610.680833,153.4558333,17130.39917,,5997.449167,59650.93083,0,0,2.75,6.083333333,8.333333333,5,5.333333333,0,6,0,-1,C,490,170,1107,47200,5181.578947
